Time	A1	A2	A3	A4	A5	B1	B2	B3	B4	B5	C1	C2	C3	C4	C5	D1	D2	D3	D4	D5	rep	exp
44400	22.83130151	28.19873539	28.03182781	39.99352647	39.07785426	19.07956976	31.57008273	42.22924593	34.46979206	30.76648396	12.88273471	19.53985928	25.75218227	37.6907304	53.95114612	13.19378343	22.37531626	23.26595343	39.21402371	47.24381133	C	CS
45000	22.70757152	27.83040375	27.39992536	38.75531985	37.18023321	17.99978614	30.8877317	42.12104968	34.29908751	31.38163456	12.5282514	18.86688655	24.03033508	35.99231162	52.19341444	12.82946219	21.79588119	22.08923014	37.75530502	46.86540759	C	CS
45600	22.59536909	27.50817593	26.94504953	37.51344196	35.8703187	16.89700025	30.16562794	41.58970245	34.67787543	31.84173022	12.26532863	18.32262772	22.72667402	34.28223041	50.5883162	12.50457808	21.27751487	21.1533766	36.24793427	45.35158886	C	CS
46200	22.44577293	27.2424958	26.5479616	36.77177971	34.0301356	15.84480055	29.3559766	41.52971571	35.10945715	32.23202507	12.01312313	17.83740804	21.80982396	32.66340465	48.6979156	12.24047541	20.80386624	20.40038089	34.54348395	44.8069212	C	CS
46800	22.32618752	26.96753891	26.05713394	36.17953288	32.26901075	14.9733301	28.5209786	41.15276485	35.37332309	32.54245083	11.76723428	17.36764682	20.95492055	30.82479544	45.91079269	12.03106336	20.40926939	19.74597781	33.48726006	44.27500645	C	CS
47400	22.18695198	26.77793305	25.66992361	35.49628952	31.12795195	14.45771119	27.63282262	40.73896257	35.39490297	32.82515518	11.63206372	16.95706509	20.24290167	28.89574815	43.76693692	11.81870537	19.98183772	19.11604373	32.1779811	43.11626499	C	CS
48000	22.02067198	26.58601274	25.21447986	34.69836287	29.75661184	14.09327824	26.95005009	40.24737218	35.30151146	33.03140361	11.44346577	16.56771119	19.57967178	27.1685214	42.17123834	11.59069486	19.67120358	18.58393965	30.8387988	42.18081391	C	CS
48600	21.8492732	26.3885562	24.8073227	33.63200139	28.79251873	13.68580813	26.08021006	39.58917901	35.40287847	33.16849938	11.29934805	16.25916912	18.97427128	25.84043908	40.5570535	11.42927202	19.3296054	18.14147347	29.63075618	42.11792687	C	CS
49200	21.63766012	26.23769285	24.44942464	32.64551578	27.93907222	13.22220714	25.24135793	38.6153638	35.09801714	33.2226848	11.15472739	15.96686638	18.41156958	24.65871417	38.52194034	11.26613786	19.00110276	17.71020672	28.41088197	40.91358952	C	CS
49800	21.43719151	26.13376891	24.06160703	31.23370157	27.22006325	12.63865311	24.27082333	37.87223748	34.76832361	33.1481259	11.046597	15.67125597	17.85116382	23.25887843	36.31588747	11.17006714	18.70816788	17.30345281	27.19100852	38.39176562	C	CS
50400	21.18522584	26.01598051	23.65304811	30.03739255	26.84285934	12.08742838	23.12463094	36.94812791	34.22368046	33.04299413	10.95328241	15.37983719	17.34667951	21.62469415	34.54488293	11.06284951	18.51102384	17.02045828	25.9229732	36.38471973	C	CS
51000	20.98466175	25.82879	23.35447537	29.09704634	26.6077958	11.59125306	22.09297232	35.85521015	33.82235772	32.87323316	10.89367631	15.17625	16.73139797	19.96083276	32.79592891	10.95403793	18.27571586	16.65328042	24.79781073	35.53402293	C	CS
