Time	B2	B3	B4	B5	B6	B7	C2	C3	C4	C5	C6	C7	D2	D3	D4	D5	E7	D7	E2	E3	E4	E5	E6	D6
60646.64073	9.216814451	10.23708447	11.91905668	10.65592464	12.02826496	15.16251842	9.18782545	11.92342276	19.12515589	11.87141624	10.77095036	13.22210703	8.722675668	10.94828043	13.58585357	21.28215119	13.21865688	26.30374658	9.514424897	15.46549639	10.06624979	13.47179204	14.27102262	22.06087318
61546.64073	9.001673553	9.85613316	11.40072229	10.38213069	11.64933925	14.65120937	8.912135516	11.14973999	17.71443143	11.53544683	10.46268056	12.67994733	8.482395081	10.66766326	13.03268173	20.88972566	13.00263539	26.21926191	9.339303401	14.9834688	9.805173524	13.48629594	14.28505804	21.09896443
62446.64073	8.8056789	9.526479422	11.00627076	10.09257894	11.31432755	14.17828744	8.611472836	10.53977998	16.5399618	11.26961955	10.21009974	12.21413428	8.232941706	10.40324065	12.41380273	20.22845971	12.85643644	26.05700575	9.179478878	14.52765455	9.659075099	13.46323483	14.25472314	19.688619
63346.64073	8.639432338	9.268797425	10.74838438	9.91744392	11.04771402	13.74338041	8.305746802	9.991566143	15.55667635	11.03837586	9.979400337	11.77608628	7.980163876	10.20620959	11.93272339	19.74477344	12.76397729	25.8869877	9.045804354	13.9404706	9.476883203	13.48067816	14.29798127	19.2160376
64246.64073	8.47693651	9.04792983	10.64468808	9.752677484	10.78307305	13.35110778	8.029821019	9.529481668	14.73814541	10.77856525	9.742119797	11.41988157	7.80505721	10.00948134	11.50020079	19.193052	12.6839499	25.4532952	8.889924735	13.42819613	9.347630448	13.39275389	14.3134666	18.61828599
65146.64073	8.277177903	8.831450472	10.51267228	9.552491314	10.54029915	12.84971246	7.656298614	9.133926517	13.92394124	10.54987097	9.541755158	11.00050077	7.653075078	9.8533769	11.10604941	18.66590578	12.66722928	25.13434248	8.808041488	12.70171411	9.256717313	13.27114907	14.36630917	17.96826211
66046.64073	8.104047308	8.57891259	10.26425473	9.315176128	10.28997372	12.51242137	7.37815295	8.725612499	13.10988681	10.31832275	9.344848163	10.73741954	7.486516705	9.65087433	10.79547309	18.17664622	12.69999994	24.75474473	8.686584892	12.12248185	9.139309572	13.02537609	14.28811914	17.65951123
66946.64073	7.986282617	8.428034569	10.02017237	9.102781318	10.0424371	12.1158071	7.148531227	8.33315077	12.20138144	10.105397	9.159713806	10.47375537	7.306568999	9.510401726	10.35315303	17.32603391	12.72889034	24.39669987	8.560520843	11.61900621	8.977581753	12.74795626	14.18685051	17.15372829
67846.64073	7.842095939	8.205803069	9.744528712	8.956884578	9.903292888	11.82029715	6.9313098	8.030703578	11.46569267	9.923110706	9.029926899	10.19088006	7.211182922	9.405606245	10.00717744	16.67748733	12.7715893	23.99597085	8.51945245	11.32466891	9.017317207	12.39722505	13.99881833	16.7266698
68746.64073	7.724674482	8.010379797	9.489975293	8.772853434	9.756817853	11.52380048	6.734817473	7.739748775	10.76410822	9.698992909	8.860660538	9.92964377	7.141135941	9.253813825	9.691221716	15.90385297	12.79181053	23.23435852	8.398827875	10.99640346	8.9037689	12.05606879	13.76875419	16.28863771
69646.64073	7.628146289	7.885070746	9.220897834	8.607048974	9.513246201	11.22508903	6.590219438	7.536439343	10.14606393	9.515678016	8.656104299	9.635809804	7.035589701	9.141022736	9.306170723	15.19229736	12.792293	22.19295331	8.254317236	10.86770169	8.802330283	11.76235736	13.43576637	15.89963729
70546.64073	7.533807841	7.773988894	8.961572871	8.4507274	9.372926362	10.99649689	6.44217613	7.330483042	9.587890013	9.288121639	8.508256704	9.403636607	6.929144389	9.025892935	9.050292847	14.55887955	12.77727633	21.3123706	8.080450172	10.75297282	8.671243174	11.45808721	13.12172546	15.41564939
71446.64073	7.423870061	7.613935289	8.745518468	8.300587214	9.183150117	10.81689662	6.312066743	7.077241247	9.128800039	9.059754853	8.381314711	9.262813678	6.881731091	8.92163652	8.810629855	13.8494302	12.69421334	20.44967505	7.942828293	10.64410378	8.596120799	11.20954839	12.87028229	14.74462743
